ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONSUNTIVO
2008;01601;Bergamo - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2008;01601;Bergamo - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;139425
2008;01601;Bergamo - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;946214
2008;01601;Bergamo - Università degli studi;04a;Gettito relativo ad altri corsi;32840
2008;01601;Bergamo - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);1559400
2008;01601;Bergamo - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;116150
2008;01601;Bergamo - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;121433
2008;01601;Bergamo - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2008;01701;Brescia - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;13915622
2008;01701;Brescia - Università degli studi;02 ;Gettito relativo a corsi di dottorato;5278
2008;01701;Brescia - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;622830
2008;01701;Brescia - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;273273
2008;01701;Brescia - Università degli studi;04a;Gettito relativo ad altri corsi;-12505
2008;01701;Brescia - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);1542800
2008;01701;Brescia - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;85827
2008;01701;Brescia - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;96997
2008;01701;Brescia - Università degli studi;08 ;Altro da studenti, non costituente gettito;222501
2008;01801;Pavia - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;27275328
2008;01801;Pavia - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2008;01801;Pavia - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;2268989
2008;01801;Pavia - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;742900
2008;01801;Pavia - Università degli studi;04a;Gettito relativo ad altri corsi;94731
2008;01801;Pavia - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2453700
2008;01801;Pavia - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;374800
2008;01801;Pavia - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;1145455
2008;01801;Pavia - Università degli studi;08 ;Altro da studenti, non costituente gettito;68061
2008;01802;Pavia - Istituto universitario di studi superiori;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;0
2008;01802;Pavia - Istituto universitario di studi superiori;02 ;Gettito relativo a corsi di dottorato;0
2008;01802;Pavia - Istituto universitario di studi superiori;03 ;Gettito relativo a corsi di specializzazione;0
2008;01802;Pavia - Istituto universitario di studi superiori;04 ;Gettito relativo a corsi di perfezionamento e master;448097
2008;01802;Pavia - Istituto universitario di studi superiori;04a;Gettito relativo ad altri corsi;0
2008;01802;Pavia - Istituto universitario di studi superiori;05 ;Tassa regionale per il DSU (se riscossa da università);4900
2008;01802;Pavia - Istituto universitario di studi superiori;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;01802;Pavia - Istituto universitario di studi superiori;07 ;Altre entrate non necessarie per l'iscrizione;0
2008;01802;Pavia - Istituto universitario di studi superiori;08 ;Altro da studenti, non costituente gettito;0
2008;02101;Bolzano - Libera Università;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;1956583
2008;02101;Bolzano - Libera Università;02 ;Gettito relativo a corsi di dottorato;22133
2008;02101;Bolzano - Libera Università;03 ;Gettito relativo a corsi di specializzazione;289361
2008;02101;Bolzano - Libera Università;04 ;Gettito relativo a corsi di perfezionamento e master;110000
2008;02101;Bolzano - Libera Università;04a;Gettito relativo ad altri corsi;0
